competencia_data,planoContas_id,valor
01/01/2024,03.01.01,667.954.40
01/01/2024,03.01.02,511.453.96
01/01/2024,03.02.01,23.670.42
01/01/2024,03.02.02,17.601.13
01/01/2024,03.02.03,11.734.08
01/01/2024,03.02.04,164.277.17
01/01/2024,03.02.05,7.627.15
01/01/2024,03.02.06,35.202.25
01/01/2024,03.02.07,33.097.72
01/01/2024,03.04.01,364.074.92
01/01/2024,03.04.02,179.008.89
01/01/2024,03.06.01,142.913.53
01/01/2024,03.06.02,25.724.44
01/01/2024,03.06.03,15.482.30
01/01/2024,03.06.04,11.909.46
01/01/2024,03.06.05,1.429.14
01/01/2024,03.06.06,428.74
01/01/2024,03.06.07,2.143.70
01/01/2024,03.06.08,1.071.85
01/01/2024,03.06.09,12.862.22
01/01/2024,03.06.10,1.286.22
01/01/2024,03.06.11,2.346.82
01/01/2024,03.06.12,5.716.54
01/01/2024,03.06.13,1.572.05
01/01/2024,03.06.14,571.65
01/01/2024,03.06.15,1.429.14
01/01/2024,03.06.16,857.48
01/01/2024,03.06.17,3.254.13
01/01/2024,03.06.18,130.17
01/01/2024,03.06.19,292.87
01/01/2024,03.06.20,276.60
01/01/2024,03.06.21,195.25
01/01/2024,03.06.22,35.202.25
01/01/2024,03.06.23,17.601.13
01/01/2024,03.06.24,14.667.60
01/01/2024,03.07.01,2.346.82
01/01/2024,03.07.02,410.69
01/01/2024,03.09.01,1.000.39
01/01/2024,03.09.02,714.57
01/01/2024,03.10.01,1.760.11
01/01/2024,03.10.02,880.06
01/01/2024,03.12.01,-1.775.90
01/01/2024,03.12.02,-392.70
01/02/2024,03.01.01,722.910.75
01/02/2024,03.01.02,501.224.88
01/02/2024,03.02.01,25.806.78
01/02/2024,03.02.02,18.242.03
01/02/2024,03.02.03,12.161.36
01/02/2024,03.02.04,170.258.99
01/02/2024,03.02.05,7.904.88
01/02/2024,03.02.06,36.484.07
01/02/2024,03.02.07,35.745.54
01/02/2024,03.04.01,393.200.91
01/02/2024,03.04.02,175.428.71
01/02/2024,03.06.01,146.674.81
01/02/2024,03.06.02,20.534.47
01/02/2024,03.06.03,15.889.77
01/02/2024,03.06.04,12.222.90
01/02/2024,03.06.05,1.466.75
01/02/2024,03.06.06,440.02
01/02/2024,03.06.07,2.200.12
01/02/2024,03.06.08,1.100.06
01/02/2024,03.06.09,13.200.73
01/02/2024,03.06.10,1.320.07
01/02/2024,03.06.11,2.432.27
01/02/2024,03.06.12,3.226.85
01/02/2024,03.06.13,1.613.42
01/02/2024,03.06.14,586.70
01/02/2024,03.06.15,953.39
01/02/2024,03.06.16,880.05
01/02/2024,03.06.17,3.254.13
01/02/2024,03.06.18,130.17
01/02/2024,03.06.19,292.87
01/02/2024,03.06.20,276.60
01/02/2024,03.06.21,195.25
01/02/2024,03.06.22,36.484.07
01/02/2024,03.06.23,23.106.58
01/02/2024,03.06.24,15.201.70
01/02/2024,03.07.01,2.432.27
01/02/2024,03.07.02,425.65
01/02/2024,03.09.01,1.026.72
01/02/2024,03.09.02,733.37
01/02/2024,03.10.01,1.824.20
01/02/2024,03.10.02,912.10
01/02/2024,03.12.01,-1.969.01
01/02/2024,03.12.02,-462.21
01/03/2024,03.01.01,744.018.74
01/03/2024,03.01.02,542.543.97
01/03/2024,03.02.01,29.128.14
01/03/2024,03.02.02,19.238.44
01/03/2024,03.02.03,12.825.63
01/03/2024,03.02.04,179.558.78
01/03/2024,03.02.05,8.336.66
01/03/2024,03.02.06,38.476.88
01/03/2024,03.02.07,37.100.94
01/03/2024,03.04.01,408.110.31
01/03/2024,03.04.02,189.190.39
01/03/2024,03.06.01,155.283.47
01/03/2024,03.06.02,15.528.35
01/03/2024,03.06.03,16.822.38
01/03/2024,03.06.04,12.940.29
01/03/2024,03.06.05,1.552.83
01/03/2024,03.06.06,465.85
01/03/2024,03.06.07,2.329.25
01/03/2024,03.06.08,1.164.63
01/03/2024,03.06.09,13.975.51
01/03/2024,03.06.10,1.397.55
01/03/2024,03.06.11,1.282.56
01/03/2024,03.06.12,3.416.24
01/03/2024,03.06.13,1.708.12
01/03/2024,03.06.14,621.13
01/03/2024,03.06.15,1.009.34
01/03/2024,03.06.16,931.70
01/03/2024,03.06.17,3.254.13
01/03/2024,03.06.18,130.17
01/03/2024,03.06.19,292.87
01/03/2024,03.06.20,276.60
01/03/2024,03.06.21,195.25
01/03/2024,03.06.22,35.911.76
01/03/2024,03.06.23,26.933.82
01/03/2024,03.06.24,16.032.03
01/03/2024,03.07.01,2.565.13
01/03/2024,03.07.02,448.90
01/03/2024,03.09.01,1.086.98
01/03/2024,03.09.02,776.42
01/03/2024,03.10.01,1.923.84
01/03/2024,03.10.02,961.92
01/03/2024,03.12.01,409.31
01/03/2024,03.12.02,393.98
01/04/2024,03.01.01,638.270.57
01/04/2024,03.01.02,511.249.38
01/04/2024,03.02.01,22.376.00
01/04/2024,03.02.02,17.212.80
