competencia_data,planoContas_id,valor
1/1/2021,01.01.01,1.985.878.89
1/1/2021,01.01.02,1.403.435.82
1/1/2021,01.02.01,129.033.65
1/1/2021,01.02.02,49.747.97
1/1/2021,01.02.03,33.131.55
1/1/2021,01.02.04,447.068.11
1/1/2021,01.02.05,22.877.03
1/1/2021,01.02.06,105.545.30
1/1/2021,01.02.07,94.723.40
1/1/2021,01.04.01,990.881.08
1/1/2021,01.04.02,548.922.79
1/1/2021,01.06.01,443.055.19
1/1/2021,01.06.02,45.161.64
1/1/2021,01.06.03,43.027.48
1/1/2021,01.06.04,35.484.15
1/1/2021,01.06.05,4.302.75
1/1/2021,01.06.06,1.204.19
1/1/2021,01.06.07,5.956.47
1/1/2021,01.06.08,3.133.35
1/1/2021,01.06.09,36.807.66
1/1/2021,01.06.10,3.467.31
1/1/2021,01.06.11,3.315.21
1/1/2021,01.06.12,8.306.13
1/1/2021,01.06.13,4.776.13
1/1/2021,01.06.14,1.652.14
1/1/2021,01.06.15,2.908.67
1/1/2021,01.06.16,2.606.47
1/1/2021,01.06.17,9.579.99
1/1/2021,01.06.18,353.78
1/1/2021,01.06.19,820.21
1/1/2021,01.06.20,806.94
1/1/2021,01.06.21,610.58
1/1/2021,01.06.22,110.351.88
1/1/2021,01.06.23,69.647.16
1/1/2021,01.06.24,40.545.44
1/1/2021,01.07.01,6.826.61
1/1/2021,01.07.02,1.148.12
1/1/2021,01.09.01,2.838.16
1/1/2021,01.09.02,2.047.94
1/1/2021,01.10.01,5.020.53
1/1/2021,01.10.02,2.387.42
1/1/2021,01.12.01,781.88
1/1/2021,01.12.02,934.17
1/1/2021,02.01.01,1.196.929.53
1/1/2021,02.01.02,656.623.42
1/1/2021,02.02.01,60.743.78
1/1/2021,02.02.02,29.002.00
1/1/2021,02.02.03,19.334.67
1/1/2021,02.02.04,255.068.86
1/1/2021,02.02.05,11.963.32
1/1/2021,02.02.06,56.330.80
1/1/2021,02.02.07,60.390.25
1/1/2021,02.04.01,651.138.40
1/1/2021,02.04.02,225.175.41
1/1/2021,02.06.01,225.645.23
1/1/2021,02.06.02,30.976.93
1/1/2021,02.06.03,24.682.23
1/1/2021,02.06.04,18.986.33
1/1/2021,02.06.05,2.190.73
1/1/2021,02.06.06,644.07
1/1/2021,02.06.07,3.253.23
1/1/2021,02.06.08,1.577.33
1/1/2021,02.06.09,19.716.57
1/1/2021,02.06.10,1.912.51
1/1/2021,02.06.11,1.859.10
1/1/2021,02.06.12,4.771.41
1/1/2021,02.06.13,2.361.61
1/1/2021,02.06.14,867.53
1/1/2021,02.06.15,1.480.93
1/1/2021,02.06.16,1.327.58
1/1/2021,02.06.17,4.607.50
1/1/2021,02.06.18,180.50
1/1/2021,02.06.19,406.13
1/1/2021,02.06.20,419.90
1/1/2021,02.06.21,282.15
1/1/2021,02.06.22,29.002.00
1/1/2021,02.06.23,18.962.84
1/1/2021,02.06.24,23.006.39
1/1/2021,02.07.01,3.866.93
1/1/2021,02.07.02,657.19
1/1/2021,02.09.01,1.610.19
1/1/2021,02.09.02,1.117.27
1/1/2021,02.10.01,2.677.11
1/1/2021,02.10.02,1.380.38
1/1/2021,02.12.01,4.429.50
1/1/2021,02.12.02,1.987.95
1/1/2021,03.01.01,557.809.46
1/1/2021,03.01.02,472.159.78
1/1/2021,03.02.01,19.722.77
1/1/2021,03.02.02,17.411.79
1/1/2021,03.02.03,9.617.94
1/1/2021,03.02.04,131.555.76
1/1/2021,03.02.05,7.257.68
1/1/2021,03.02.06,35.155.24
1/1/2021,03.02.07,28.809.94
1/1/2021,03.04.01,293.309.70
1/1/2021,03.04.02,149.976.34
1/1/2021,03.06.01,143.288.37
1/1/2021,03.06.02,12.841.88
1/1/2021,03.06.03,16.840.89
1/1/2021,03.06.04,11.152.16
1/1/2021,03.06.05,1.541.03
1/1/2021,03.06.06,381.20
1/1/2021,03.06.07,2.027.67
1/1/2021,03.06.08,973.28
1/1/2021,03.06.09,12.774.29
1/1/2021,03.06.10,1.204.43
1/1/2021,03.06.11,1.028.12
1/1/2021,03.06.12,2.646.78
1/1/2021,03.06.13,1.620.78
1/1/2021,03.06.14,540.71
1/1/2021,03.06.15,843.51
1/1/2021,03.06.16,900.28
1/1/2021,03.06.17,3.197.70
1/1/2021,03.06.18,141.70
1/1/2021,03.06.19,307.54
1/1/2021,03.06.20,261.15
1/1/2021,03.06.21,173.05
1/1/2021,03.06.22,37.498.92
1/1/2021,03.06.23,25.537.29
1/1/2021,03.06.24,12.713.37
1/1/2021,03.07.01,2.188.91
1/1/2021,03.07.02,355.97
1/1/2021,03.09.01,927.32
1/1/2021,03.09.02,750.24
1/1/2021,03.10.01,1.492.44
1/1/2021,03.10.02,928.63
1/1/2021,03.12.01,274.54
1/1/2021,03.12.02,285.38
2/1/2021,01.01.01,1.843.892.05
2/1/2021,01.01.02,1.409.369.70
2/1/2021,01.02.01,119.129.75
2/1/2021,01.02.02,49.678.85
2/1/2021,01.02.03,32.727.70
2/1/2021,01.02.04,425.538.98
2/1/2021,01.02.05,21.544.08
2/1/2021,01.02.06,96.305.56
2/1/2021,01.02.07,89.386.09
2/1/2021,01.04.01,998.330.15
2/1/2021,01.04.02,513.064.25
2/1/2021,01.06.01,426.951.11
2/1/2021,01.06.02,61.701.66
2/1/2021,01.06.03,44.595.05
2/1/2021,01.06.04,33.164.11
2/1/2021,01.06.05,4.139.54
2/1/2021,01.06.06,1.138.78
2/1/2021,01.06.07,6.568.77
2/1/2021,01.06.08,3.103.73
2/1/2021,01.06.09,39.897.79
2/1/2021,01.06.10,3.884.76
2/1/2021,01.06.11,3.540.15
2/1/2021,01.06.12,8.740.01
2/1/2021,01.06.13,4.667.99
2/1/2021,01.06.14,1.604.17
2/1/2021,01.06.15,2.500.37
2/1/2021,01.06.16,2.583.84
2/1/2021,01.06.17,9.637.25
2/1/2021,01.06.18,360.93
2/1/2021,01.06.19,818.38
2/1/2021,01.06.20,747.40
2/1/2021,01.06.21,553.37
2/1/2021,01.06.22,101.281.10
2/1/2021,01.06.23,32.521.59
2/1/2021,01.06.24,41.593.19
2/1/2021,01.07.01,6.408.03
